@NAME,@DATEVALIDATED,@UNIQUEIDENTIFIER,@RESOLVED,@TEMPLATE,@WHENCREATED,@DATERESOLVED,@TYPE,@WHENUPDATED,@DESCRIPTION,@EXPORTFLAG,@VALIDATED,@CWAVERAGERATING,@CWTOTALCOMMENT,RCWHOCREATEDTOUSER@WHOCREATED,RCWHOOWNSTOUSER@WHOOWNS,RCWHOUPDATEDTOUSER@WHOUPDATED,RCWHOCREATEDTOUSER@UNIQUEIDENTIFIER,RCWHOOWNSTOUSER@UNIQUEIDENTIFIER,RCWHOUPDATEDTOUSER@UNIQUEIDENTIFIER
Tibco Fulfillment Orchestration Suite,1899-12-30T00:00:00,f16b28b3c6c511e3b45c6817294aebff,0,0,2014-04-18T00:51:19,1899-12-30T00:00:00,9b44f8a451f611e3bedaf3b5dd50bdcc,2014-04-18T01:21:20,"Company Name Tibco
Certification Type Product
Product Name Tibco Fulfillment Orchestration Suite
Product Version N/A
Product Description ""The Fulfillment Orchestration Suite has been deployed and hardened by more than 80 CSPs around the world and integrated into a wide variety of IT systems and more than 300 network and value-added services (VAS) platforms. It has been deployed by emerging and leading telecom organizations in both nascent and mature markets. It consists of these interrelated applications:
• TIBCO® Fulfillment Catalog that defines and manages the lifecycles of commercial and technical offerings.
• TIBCO® Fulfillment Order Management that automates the orchestration of business delivery processes for commercial offers.
• TIBCO® Fulfillment Provisioning that automates the activation of underlying network services and the allocation of network resources.
Frameworx Certification results: http://www.tmforum.org/TIBCOFulfillmentOrchestration/14971/home.html""
Company Website http://www.tibco.com/
Product Website http://www.tibco.com/industries/telecommunications/fulfillment-orchestration/default.jsp
Product Contacts sbeauvai@tibco.com, mdescall@tibco.com
Frameworx Version 12.0
Product Summary Results http://www.tmforum.org/TIBCOFulfillmentOrchestration/14971/home.html
eTOM WEB Results http://www.tmforum.org/TIBCOFOSBusiness/14975/home.html
SID WEB Results http://www.tmforum.org/TIBCOFOSInformation/14976/home.html
Certification Report: http://www.tmforum.org/browse.aspx?catID=14975&linkID=52175&docID=20077",0,0,0.0,0.0,32,32,32,,,
Business Process Framework 12.5 Modification,1899-12-30T00:00:00,f26277e22ef111e2b37c984be1bad6a0,0,0,2012-11-16T02:51:51,1899-12-30T00:00:00,1b95aa0316da11e2b75d002564cb911c,2013-05-01T08:55:10,,0,0,0.0,0.0,,,6,ADMIN,ADMIN,
Application Framework 12.0 Deletion,1899-12-30T00:00:00,f363c31c67c311e1a5f7002564cb911c,0,0,2012-03-06T14:38:31,1899-12-30T00:00:00,be57dbf1632011e1aa36002564cb911c,2013-04-30T03:22:58,TAM 12.0=TAM 5.0,0,0,0.0,0.0,,,6,ADMIN,ADMIN,
Oracle RSDOD Solution Conformance Results,1899-12-30T00:00:00,f5dce4f6c6c611e3b45c6817294aebff,0,0,2014-04-18T00:58:36,1899-12-30T00:00:00,9b44f8a451f611e3bedaf3b5dd50bdcc,2014-04-18T01:54:55,"Company Name Oracle
Certification Type Solution
Product Name Rapid Service Design and Order Delivery (RSDOD) Solution
Product Version N/A
Product Description ""RSDOD is a comprehensive solution consisting of Oracle Communications Order and Service Management (OSM), Oracle Communications Unified Inventory Management (UIM), Oracle Communications ASAP, Oracle Communications IP Service Activator (IPSA) and Oracle Communications Design Studio. Complementary products from the Oracle OSS portfolio include Oracle Communications MetaSolv Solution (MSS). Optional complementary products include the Information Framework (SID) certified Oracle Communications Data Model (OCDM).

Certification Results: http://www.tmforum.org/OracleRapidService/14937/home.html ""
Company Website http://www.oracle.com/index.html
Product Website http://www.oracle.com/us/industries/communications/rapid-service-order-ds-1624095.pdf
Product Contacts alexander.bruce@oracle.com, philippe.lalande@oracle.com, srinivas.padmanabharao@oracle.com
Frameworx Version 12.0
Product Summary Results http://www.tmforum.org/OracleRapidService/14937/home.html
eTOM WEB Results http://www.tmforum.org/OracleRSDODSolution/14938/home.html
SID WEB Results N/A
Certification Report: http://www.tmforum.org/browse.aspx?catID=14938&linkID=52087&docID=19899",0,0,0.0,0.0,32,32,32,,,
Business Process Framework 17.0 Modification,1899-12-30T00:00:00,f5e2d3d54eaa11e780ca000d3a02ed0d,0,0,2017-06-11T13:36:24,1899-12-30T00:00:00,3715a2425aa411e780cb000d3a02ed0d,2017-06-26T19:18:34,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Business Process Framework 17.0 Addition,1899-12-30T00:00:00,f5e2d3d94eaa11e780ca000d3a02ed0d,0,0,2017-06-11T13:36:25,1899-12-30T00:00:00,3715a2425aa411e780cb000d3a02ed0d,2017-06-26T19:18:52,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Request Detail,1899-12-30T00:00:00,f6349d990c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:23,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:55:52,This could be explicit step in the customers journey wherein he/she has initiatied interaction with the CSP to get details of the product and/or service in relation to him receiving it.,0,0,0.0,0.0,6,6,6,,,
Reserve,1899-12-30T00:00:00,f6349d9a0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:25,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:56:06,The customer during the reserve sub phase is requesting the CSP to hold the inventory (most likely the physical inventory). The reservation in this case is prior to the actual formal selection and order submission step as at this time he is still evaluating the product and wanting to get an actual demonstration or viewing before he/she confirms.,0,0,0.0,0.0,6,6,6,,,
Select Product/Service,1899-12-30T00:00:00,f6349d9b0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:28,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:56:20,The select product/service confirms the customers selection on the offering from the CSP.,0,0,0.0,0.0,6,6,6,,,
Place Order,1899-12-30T00:00:00,f6349d9c0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:30,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:55:05,"As part of the choosing phase, the customer will then place the order with the CSP. The Place Order step includes the components of providing information for verification of the customers identity, making initial payment as needed; including deposit.",0,0,0.0,0.0,6,6,6,,,
Business Process Framework 18.0 Modification,1899-12-30T00:00:00,f6b546d07ad111e880d7000d3a02ed0d,0,0,2018-06-28T12:51:27,1899-12-30T00:00:00,03badc10a4b411e880d9000d3a02ed0d,2018-08-20T20:02:56,,0,0,0.0,0.0,,,,ATALMOR,ATALMOR,DFREED
Application Framework 13.5 Deletion,1899-12-30T00:00:00,f85da47d2ba511e397730220e3370c01,0,0,2013-10-02T15:02:34,1899-12-30T00:00:00,8b21dab82ba511e397730220e3370c01,2013-10-02T15:02:34,,0,0,0.0,0.0,8,8,8,,,
Receive,1899-12-30T00:00:00,fd26923b0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:35,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:55:19,The next phase in the lifecycle for the customer is around receiving the product/service he has selected. Depending upon the type of service this could be right at the time of the selection (i.e. in the case of wireless) or could be a separate step once some backend function/operation is completed.,0,0,0.0,0.0,6,6,6,,,
Use,1899-12-30T00:00:00,fd26923c0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:39,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:56:37,The use phase of the lifecycle is where the customer has the most amount of interaction with the CSP. A lot of the experience of the customer is built around the usability and consumption of the services.,0,0,0.0,0.0,6,6,6,,,
Review Usage,1899-12-30T00:00:00,fd26923d0c0d11e3beaae4ef44b5706d,0,0,2013-08-23T10:06:44,1899-12-30T00:00:00,e8e1d3050c0d11e3beaae4ef44b5706d,2013-08-28T04:56:13,"Based on the usage, the customer will review his/her usage. This could be post the use phase by viewing his transactions or during the use phase itself as he is implicitly observing the usage of his product/service with the CSP",0,0,0.0,0.0,6,6,6,,,
Business Process Framework 14.5 Modification,1899-12-30T00:00:00,fd47dc316e8811e4b36f6817294aebff,0,0,2014-11-17T20:38:59,1899-12-30T00:00:00,e42421d86e5c11e4b36f6817294aebff,2014-11-17T20:38:59,,0,0,0.0,0.0,,,,ADMIN,ADMIN,ADMIN
